Nombre y Apellido,Educación,Tipo de cuenta bancaria,Situación Laboral,Inicio de cuenta,Cantidad ahorrado,Créditos
Clímaco Salom-Nevado,Universitario,Vista,Cesante,2022-05-07,13692966.40206822,2
Rosalía Barón Garriga,Incompleto,Ahorro,Dependiente,2021-04-03,11769451.685083367,3
Berta Sandoval,Universitario,Vista,Cesante,2021-09-11,9075974.236118294,1
Rafael Valera Amador,Universitario,Ahorro,Dependiente,2024-04-10,8985280.562246257,1
Juan José Arjona Tamarit,Incompleto,Vista,Independiente,2022-03-01,2269179.049645425,3
Juan José Maldonado Uribe,Medio,Ahorro,Cesante,2020-12-27,5140905.655393623,3
Emiliana Casanovas Pelayo,Medio,Vista,Cesante,2020-12-04,11752836.577969108,3
Nicodemo Goicoechea Cuenca,Incompleto,Ahorro,Dependiente,2023-05-07,11451520.832405351,2
Telmo Jiménez,Incompleto,Vista,Cesante,2023-06-14,14818001.79886983,4
Estela Pinto Toledo,Medio,Corriente,Independiente,2020-08-23,14629723.100253792,3
Buenaventura Domingo Barberá,Medio,Ahorro,Independiente,2023-04-21,10786900.240017066,1
Inés Calderon-Cabrera,Universitario,Corriente,Cesante,2023-10-04,9951000.298205638,1
Dolores del Blanes,Medio,Corriente,Independiente,2023-05-21,4705802.883897231,2
Julio César Gonzalez Priego,Universitario,Ahorro,Independiente,2022-01-22,10733115.514787994,1
Hernando Milla Llorens,Incompleto,Ahorro,Dependiente,2021-08-10,13042922.9937577,1
Valentín Abad,Universitario,Ahorro,Dependiente,2021-06-02,4741857.52737329,3
Bonifacio Mur Soler,Incompleto,Vista,Independiente,2021-12-09,9258872.746340817,1
Martín Bravo Jerez,Universitario,Ahorro,Cesante,2021-02-25,14210993.912859553,2
Zaida Peral Luís,Universitario,Corriente,Cesante,2020-08-11,14711324.053333582,2
Maricruz Yésica Sobrino Bermúdez,Universitario,Corriente,Cesante,2020-02-15,12793678.171520595,4
Clemente Linares,Medio,Vista,Cesante,2024-04-25,4166897.1552628474,3
Rita Pons Palomares,Medio,Ahorro,Dependiente,2022-03-16,3547697.2231044318,2
Estefanía Luna Franch Murcia,Universitario,Corriente,Dependiente,2024-01-27,2735764.92012985,3
Aureliano Garay Espejo,Medio,Vista,Independiente,2022-10-20,9483793.35187278,1
Abilio del Arteaga,Medio,Ahorro,Independiente,2022-02-02,2088575.4274332807,4
Bartolomé Galan Navarro,Medio,Vista,Cesante,2023-09-17,1106886.902213342,3
Isidoro del Olmedo,Medio,Vista,Cesante,2022-12-18,7595261.907894436,4
Anita Poza Cantero,Medio,Corriente,Independiente,2024-05-11,6087214.799164472,1
Concepción Hervás Roma,Medio,Corriente,Cesante,2020-04-29,762604.3986853076,1
Joan Lara Lillo,Incompleto,Corriente,Cesante,2022-10-03,13934467.377991855,4
Fabio Olivera Iriarte,Medio,Ahorro,Independiente,2020-08-20,7551724.437344522,3
Juan Manuel Reig Albero,Universitario,Corriente,Dependiente,2023-10-04,8404103.619979529,2
Epifanio Diéguez Moya,Universitario,Corriente,Dependiente,2023-08-07,6837229.286108624,3
Felipe Otero Mateu,Medio,Vista,Dependiente,2022-01-19,14154809.728068776,3
Abilio Roselló-Solsona,Universitario,Ahorro,Independiente,2020-11-12,7824252.210280789,3
Jesús Roberto Barranco Contreras,Universitario,Vista,Dependiente,2020-10-12,12614328.474965459,2
Octavia Bartolomé Romero,Medio,Vista,Independiente,2019-12-23,2084672.3513152231,2
Desiderio Malo Castañeda,Incompleto,Vista,Cesante,2021-09-10,9206712.903767996,3
Chus Vicens-Espinosa,Medio,Ahorro,Dependiente,2019-12-09,6432124.396331076,2
Rosalva del Rico,Universitario,Ahorro,Independiente,2024-05-11,12366520.691254424,2
Simón del Salom,Medio,Ahorro,Independiente,2020-08-19,319045.6431448718,3
Loida Daniela Alfonso Valenzuela,Universitario,Corriente,Dependiente,2023-09-03,13425455.143746106,3
Elba Villar-Torres,Medio,Corriente,Cesante,2024-02-21,7559203.733385676,3
Graciana Romero Pizarro,Incompleto,Ahorro,Cesante,2024-07-07,14598050.988441631,4
Cipriano Miró Caro,Universitario,Ahorro,Cesante,2021-03-30,5382171.617210856,4
Baltasar Exposito Aparicio,Incompleto,Corriente,Dependiente,2023-04-21,14679868.907859366,4
Roberta Rosselló Rovira,Incompleto,Corriente,Independiente,2023-01-10,10864091.726770582,3
Luna Lorenzo Vicente,Incompleto,Vista,Dependiente,2021-10-22,13790287.10168311,2
Dani Herrero Acedo,Medio,Ahorro,Cesante,2024-03-31,9520890.180127243,4
Feliciano Romeu Donoso,Universitario,Ahorro,Cesante,2022-05-17,10284723.171304235,4
Juanita Chaparro Ramírez,Incompleto,Corriente,Cesante,2021-11-06,11440781.711289609,1
Iván Rodríguez Higueras,Universitario,Corriente,Independiente,2023-05-03,13249197.082473634,2
Luis Sandoval,Medio,Corriente,Independiente,2020-08-03,4980839.789307169,1
Sigfrido Olmo,Incompleto,Corriente,Independiente,2021-07-23,10283348.551694022,2
Milagros Arellano Pérez,Universitario,Ahorro,Independiente,2020-10-29,126374.14582769568,1
Maximiano Vigil Solís,Incompleto,Vista,Cesante,2021-03-05,9831814.838427996,3
Amando Caparrós Dalmau,Universitario,Corriente,Dependiente,2020-08-13,14813236.256951222,4
Yéssica Urrutia Pérez,Medio,Vista,Dependiente,2021-02-26,14365997.420386177,3
Rafa Baquero Amador,Universitario,Ahorro,Dependiente,2023-04-12,13734232.723464468,3
Leticia Ferrán Guillén,Universitario,Corriente,Cesante,2023-12-28,14665262.66995267,1
Emma Alcaraz-Correa,Incompleto,Ahorro,Independiente,2021-09-05,6198090.278408308,3
Alexandra Navas Higueras,Incompleto,Vista,Independiente,2019-11-28,5687692.046203705,4
Amelia Martí Falcó,Universitario,Vista,Cesante,2020-07-02,1292217.6019254294,2
Paula de Giner,Medio,Vista,Dependiente,2022-01-16,4126378.910122249,4
Clotilde Llano Casado,Incompleto,Corriente,Independiente,2020-01-24,6731382.467416251,1
Rubén Rubio Barón,Universitario,Corriente,Cesante,2024-05-14,10515920.317362193,4
Dionisio Gregorio Ochoa Pellicer,Medio,Ahorro,Cesante,2024-01-29,14851308.297593176,3
José María de Ramirez,Medio,Ahorro,Cesante,2022-03-17,13101074.831979465,2
Asunción del Marín,Medio,Corriente,Independiente,2022-10-25,5890502.042628289,2
Rita Carmona Bayona,Incompleto,Ahorro,Cesante,2023-08-02,2903389.6858648867,2
José María Lozano,Medio,Corriente,Independiente,2023-10-02,7385211.379757667,4
María Cristina Gomez Anglada,Universitario,Corriente,Cesante,2021-09-04,10655517.809781235,4
Demetrio Blanca Montes,Medio,Corriente,Dependiente,2020-04-24,12146164.008801788,3
Calixta Pina Tur,Universitario,Vista,Independiente,2020-08-26,1807731.6125127862,3
María José Calderón Manzanares,Universitario,Corriente,Dependiente,2020-12-23,1586997.8237990006,2
Ricarda Godoy Hervia,Medio,Corriente,Independiente,2022-09-08,14770614.80950288,3
Fulgencio del Anglada,Medio,Corriente,Independiente,2022-12-28,8029834.043422491,3
Primitiva Frías Cabrero,Incompleto,Corriente,Independiente,2020-02-09,6768055.2235132065,4
Javi Ayuso Rodrigo,Incompleto,Vista,Dependiente,2024-08-19,14804859.592409842,2
Tadeo Salvà Cerezo,Universitario,Corriente,Cesante,2021-03-27,5838255.555507809,1
Pastor Miguel,Incompleto,Ahorro,Cesante,2023-11-01,7447272.967165632,2
Haydée Fábregas Blasco,Universitario,Vista,Independiente,2023-04-25,1778944.935435754,2
Quirino Oliva Perelló,Medio,Vista,Cesante,2024-03-25,5628335.706526254,4
Amancio Belmonte Roselló,Incompleto,Corriente,Dependiente,2022-08-06,14428247.54429335,2
Pascuala Nebot Pazos,Universitario,Ahorro,Independiente,2022-10-16,3550533.7518330156,3
Arturo Montenegro Sosa,Universitario,Corriente,Independiente,2021-07-26,9973520.072534341,1
Tadeo Domínguez-Sevilla,Incompleto,Vista,Independiente,2020-12-05,4967237.56762937,2
Inmaculada Miguela Batalla Bernat,Medio,Corriente,Dependiente,2021-05-29,8782248.554031732,1
Miriam Rius Cánovas,Universitario,Vista,Cesante,2024-09-10,14971517.547391068,3
Calisto Ángel Palau,Medio,Vista,Cesante,2021-05-25,2514110.088346655,4
Nicanor Reguera Bautista,Incompleto,Corriente,Cesante,2023-08-17,1744357.6811811912,2
María Gordillo Badía,Universitario,Vista,Cesante,2024-04-02,10470414.894558694,3
Leonel Escribano Paredes,Universitario,Corriente,Cesante,2024-11-08,14840230.063580062,2
Néstor Rovira Millán,Incompleto,Vista,Dependiente,2022-11-20,14087332.563582165,4
Fabio Pazos-Sales,Medio,Vista,Independiente,2023-11-26,147903.79110383723,3
Rómulo Flores Guitart,Medio,Corriente,Dependiente,2024-04-27,92496.18766545842,2
Luciano Bru,Medio,Ahorro,Dependiente,2020-08-28,5778815.315050951,1
Eva Quevedo Montesinos,Universitario,Corriente,Independiente,2024-10-06,11122506.623758959,1
Aníbal Miranda,Universitario,Corriente,Independiente,2024-06-07,5689882.98055023,1
Venceslás Gimeno Torrecilla,Medio,Vista,Cesante,2024-03-19,7857713.993577535,1
Guadalupe Romeu Maldonado,Incompleto,Vista,Cesante,2024-02-13,9883381.010367591,2
Adoración Pascuala Marí Cabo,Universitario,Corriente,Cesante,2024-06-11,4734019.379965805,3
Benita Rebollo Angulo,Universitario,Corriente,Cesante,2021-09-13,9987008.085439777,4
Guillermo Gonzalez Balaguer,Universitario,Corriente,Cesante,2024-03-11,8522448.565038517,1
Sol Ibáñez Ledesma,Universitario,Ahorro,Dependiente,2023-03-28,357888.80558541627,3
Lucía Quero Sáez,Medio,Vista,Cesante,2024-02-12,2422560.1799858077,1
Sigfrido Olivera Blanca,Incompleto,Ahorro,Dependiente,2023-04-26,3764919.621696092,2
Bartolomé Chaparro Milla,Incompleto,Vista,Cesante,2022-05-30,4720234.001128874,2
Edelmiro Juliá Corral,Incompleto,Corriente,Cesante,2022-12-05,5588810.910917975,2
Maximiliano Tolosa Falcó,Universitario,Corriente,Independiente,2021-08-03,882849.4445376373,3
Roberta de Riba,Universitario,Corriente,Dependiente,2020-09-14,10680495.44099423,3
Pía Luque Pinto,Medio,Corriente,Cesante,2024-04-22,13429179.43992563,1
Graciela Sáez Ribas,Incompleto,Ahorro,Dependiente,2024-10-15,8053224.689320422,2
Espiridión Peralta Estrada,Incompleto,Vista,Dependiente,2024-08-14,1787162.9473757073,1
Lino Pazos Blanca,Universitario,Vista,Independiente,2022-07-26,11036676.450851245,1
Martirio Redondo Iñiguez,Universitario,Vista,Dependiente,2022-06-28,12825715.675267698,3
Francisco Javier Ripoll Rueda,Medio,Vista,Dependiente,2023-06-11,4549060.6297638845,1
Bernardita Murcia Espada,Incompleto,Ahorro,Independiente,2020-10-02,8637713.720448477,2
David Llano Andrade,Universitario,Corriente,Independiente,2020-12-11,3067182.8876720387,3
Benjamín Ballesteros Cañas,Incompleto,Corriente,Cesante,2023-09-28,1214952.1043534572,2
Cleto del Lara,Incompleto,Corriente,Cesante,2023-10-16,3512163.81126583,4
María Ángeles Gálvez,Universitario,Ahorro,Independiente,2021-04-07,3945331.36833712,4
Esperanza Vázquez Flor,Universitario,Ahorro,Independiente,2023-02-21,1956302.6446473275,1
Maribel Milla Vicens,Medio,Corriente,Dependiente,2024-04-24,1156171.7320758856,3
Rosa Montoya,Medio,Corriente,Cesante,2023-05-24,13510376.417359667,1
Reinaldo Olmedo Guerra,Universitario,Vista,Independiente,2021-09-05,7497810.821378138,3
Elodia Viñas Ocaña,Universitario,Corriente,Cesante,2021-03-09,8705326.794097338,4
Roque Palma-Calzada,Universitario,Ahorro,Cesante,2021-12-10,6258699.81603861,1
Benita Romeu Pérez,Incompleto,Ahorro,Dependiente,2020-07-07,11746304.161856592,3
Consuela Blanch Mancebo,Medio,Vista,Independiente,2020-10-27,9883159.355926855,1
Mireia Gabaldón,Incompleto,Ahorro,Independiente,2024-06-04,13102687.792538684,2
Luisa Fortuny Rosa,Medio,Vista,Cesante,2021-11-12,7092813.289724726,3
Fabián Escrivá-Frías,Universitario,Ahorro,Dependiente,2020-04-28,5458386.266783762,1
Rita Castellanos Vicens,Universitario,Vista,Cesante,2021-09-27,7156129.401685681,1
Matías Suárez Chacón,Incompleto,Corriente,Independiente,2020-03-19,10940963.912828391,1
Manola Valverde Frutos,Universitario,Vista,Independiente,2024-02-20,3502293.740403663,1
Ascensión Catalá Osuna,Universitario,Corriente,Cesante,2024-05-07,7012027.543610763,3
Selena Blanca Belda,Universitario,Corriente,Dependiente,2021-02-25,4000536.8971523526,2
Matías de Carbajo,Universitario,Ahorro,Dependiente,2020-02-01,7370704.366621533,4
Seve Cabello Ayllón,Medio,Vista,Dependiente,2023-10-19,6181935.248469205,2
Ariadna Morales-Querol,Universitario,Corriente,Dependiente,2023-08-25,14766005.404667547,2
Fernanda Aragón Antúnez,Incompleto,Vista,Cesante,2020-03-16,7896256.228393854,3
Eli Roma,Medio,Corriente,Cesante,2024-01-09,4489595.520090408,1
Vidal Almagro-Cuadrado,Universitario,Corriente,Dependiente,2023-01-19,9346701.98290086,3
Joaquín de Verdejo,Universitario,Ahorro,Dependiente,2024-11-08,5735761.229429996,2
Florinda Galiano Hervia,Universitario,Corriente,Independiente,2021-06-25,2995962.4674365628,2
Encarnación Sánchez,Medio,Corriente,Independiente,2024-08-04,3686364.254915136,4
Cayetana Muñoz Flor,Incompleto,Corriente,Independiente,2024-02-06,5022636.629396414,1
Leonel de Solera,Incompleto,Ahorro,Cesante,2019-12-17,14500336.596255584,1
Timoteo de Verdugo,Incompleto,Corriente,Independiente,2023-10-20,3842090.531769273,2
Adolfo Cabrero,Medio,Corriente,Independiente,2023-10-06,5042767.6719231205,4
Rosalva Morata Sanjuan,Incompleto,Corriente,Cesante,2021-08-19,8996198.089331668,2
Alejandra Caro-Gilabert,Incompleto,Ahorro,Cesante,2024-08-03,10190982.906045966,3
Amancio Santos Lillo,Universitario,Ahorro,Cesante,2022-04-26,1972270.1779520519,2
Teodoro Bayo Riba,Incompleto,Vista,Cesante,2020-08-28,6765748.112773454,3
Piedad Manjón Carvajal,Incompleto,Vista,Cesante,2020-08-19,5232647.826031652,1
Anacleto Guillen Acevedo,Medio,Vista,Cesante,2024-04-20,13429152.3207133,3
José Mari Severiano Céspedes Jover,Incompleto,Ahorro,Cesante,2020-09-17,11212186.94167137,1
Edelmira Sanmartín Cabañas,Incompleto,Ahorro,Cesante,2020-12-02,4988157.048330226,2
Juan Luis Pujadas Catalá,Incompleto,Vista,Cesante,2020-05-12,14059162.897466874,3
Ruth Mercader Navarrete,Universitario,Vista,Cesante,2022-10-27,4760730.701316829,2
Rosalva Mariscal-Caparrós,Incompleto,Vista,Independiente,2021-04-23,11417379.246819036,1
Anita Araujo Manso,Universitario,Vista,Dependiente,2021-02-01,12037734.193615515,4
Felipe Juan Francisco Morell Barbero,Incompleto,Ahorro,Independiente,2020-11-25,5679482.509217858,2
Nuria Lorenza Barrera Martínez,Medio,Corriente,Cesante,2021-01-28,9802952.716772866,3
Desiderio del Gimenez,Incompleto,Ahorro,Independiente,2023-08-09,8371644.260697088,2
Paula Mirta Tena Vizcaíno,Universitario,Corriente,Dependiente,2024-11-21,301315.59065593337,1
Amancio Pizarro Izquierdo,Incompleto,Corriente,Dependiente,2024-05-07,11115854.426502267,2
Ana del Barreda,Medio,Vista,Independiente,2023-07-04,6252091.326882567,3
Venceslás Arias Iniesta,Medio,Vista,Independiente,2024-11-12,7640764.793136019,2
Maxi Alfaro-Morales,Incompleto,Vista,Cesante,2024-01-02,5538163.265324746,3
Joel Almeida Estévez,Universitario,Vista,Dependiente,2023-09-07,10997877.107159518,1
Olegario Camacho,Incompleto,Vista,Independiente,2024-04-11,11267229.186972303,1
Esmeralda Bernardita Arrieta Báez,Medio,Vista,Dependiente,2020-02-05,12687303.61191398,2
Julián Lucas-Cañete,Universitario,Vista,Dependiente,2020-05-19,5045682.507919041,4
María Jesús Barberá-Coronado,Medio,Vista,Independiente,2023-08-25,7125181.314019784,4
Julián González Montoya,Medio,Ahorro,Dependiente,2023-01-24,1422756.1345490785,3
José Mari Vasco Tello Dueñas,Universitario,Vista,Cesante,2022-06-30,7642667.506315281,3
Lucio Javi Burgos Anguita,Medio,Corriente,Cesante,2020-06-11,7379309.344510969,1
Leandra Beltran Sales,Medio,Corriente,Dependiente,2022-01-17,10598016.801395068,3
Alcides Losa Pedrosa,Universitario,Ahorro,Independiente,2021-05-05,8495875.300275896,1
Heliodoro del Galván,Incompleto,Vista,Cesante,2022-11-06,1971087.6446170916,3
Delfina Diaz-Granados,Medio,Ahorro,Dependiente,2020-06-19,4760804.737478454,3
Lucio Rodolfo Casal Noriega,Incompleto,Corriente,Cesante,2021-08-14,10888246.998198552,4
Olimpia Pinilla Cobo,Universitario,Vista,Cesante,2021-04-21,6386266.969094989,4
José Antonio de Chacón,Incompleto,Corriente,Cesante,2022-05-15,909646.5927983,4
Remigio Jiménez Guzmán,Medio,Vista,Cesante,2024-03-04,1498045.7432930167,1
Sebastián Piña Castro,Universitario,Corriente,Cesante,2021-05-16,1549719.6069216018,1
Rufina Baños Blasco,Incompleto,Corriente,Independiente,2021-07-15,5739644.528358547,2
Martina Franco Ribera,Incompleto,Corriente,Independiente,2022-08-23,3356713.2990922686,3
Evelia Hernando-Barriga,Medio,Ahorro,Independiente,2021-04-07,8122388.676883545,4
Ámbar Osuna Barral,Medio,Ahorro,Cesante,2021-10-30,14428729.265784264,1
Marisol Dominga Solsona Vaquero,Incompleto,Vista,Independiente,2023-05-03,9780374.05554685,2
Marcia Gutiérrez-Nadal,Medio,Ahorro,Independiente,2021-05-11,6661308.682904575,1
Urbano Lloret,Universitario,Corriente,Cesante,2020-03-31,5710816.083170606,1
Guiomar Pons Vaquero,Medio,Corriente,Dependiente,2022-05-14,11775715.937899897,4
Calisto Renato Uribe Pizarro,Universitario,Ahorro,Independiente,2020-03-19,2034747.776315471,1
Tania del Quirós,Medio,Vista,Cesante,2023-08-08,1764743.8759136423,4
Jafet Ramirez Aparicio,Universitario,Corriente,Cesante,2020-07-08,9562452.896488314,4
Carlos Carrasco-Vidal,Universitario,Corriente,Dependiente,2023-08-27,10917868.767221617,1
Lola Tejero Larrañaga,Universitario,Vista,Dependiente,2020-08-20,3869274.957747552,2
Macaria Berenguer Diez,Incompleto,Corriente,Independiente,2022-05-30,7786177.379153079,3
Aura Baena,Medio,Corriente,Independiente,2023-03-30,4598852.81403186,4
Anacleto Morera Lucena,Universitario,Corriente,Cesante,2021-09-26,659596.8342184044,4
Ciro Herminio Tirado Cañizares,Medio,Corriente,Independiente,2022-03-19,14619984.034802636,2
Armando Tejada Granados,Incompleto,Vista,Independiente,2023-05-28,12814722.861620307,3
Antonio Girón Balaguer,Universitario,Vista,Independiente,2023-03-30,8623480.92283192,2
Adán Jover,Universitario,Ahorro,Dependiente,2022-03-15,6745797.788915116,3
Victor Manuel Daniel Armengol Arroyo,Medio,Ahorro,Cesante,2020-10-19,12833284.40938703,4
Alex Santamaria Mateo,Incompleto,Corriente,Independiente,2020-04-03,10044584.634091314,1
Poncio Aguilera-Galán,Universitario,Ahorro,Cesante,2021-10-03,3574161.88114088,1
Gala Anglada Peña,Universitario,Vista,Independiente,2021-08-06,6127600.906054243,1
Cosme Mas Moliner,Incompleto,Ahorro,Independiente,2024-04-10,5954332.604301261,2
Lope Fuentes-Niño,Incompleto,Ahorro,Dependiente,2020-07-12,14308161.176116876,4
Ximena Elisa Carrión Sales,Incompleto,Corriente,Cesante,2023-09-01,11993748.005486669,4
Jose Francisco Felipe Pons Sabater,Incompleto,Vista,Independiente,2024-05-28,14622169.07283681,2
Fito Menendez Nieto,Incompleto,Corriente,Independiente,2021-09-27,6989596.500049581,4
Marisa Canet Vélez,Medio,Corriente,Independiente,2023-05-08,10265311.25369067,4
Eligia Alexandra Anaya Echevarría,Incompleto,Corriente,Cesante,2021-10-16,270070.90058775275,2
Gonzalo Jaén-Aguiló,Incompleto,Vista,Dependiente,2024-11-13,1834159.0551437736,1
Loida Palomar Peiró,Universitario,Corriente,Dependiente,2023-02-14,14096254.536614167,3
Jose Ignacio Collado Fuentes,Medio,Vista,Cesante,2024-05-22,4221180.791976839,2
Xavier Mascaró-Ribas,Incompleto,Ahorro,Independiente,2020-05-30,5873598.467599175,2
Tere Sosa Oliva,Medio,Vista,Cesante,2020-03-20,6387793.462458033,1
Clarisa Maza-Páez,Incompleto,Ahorro,Independiente,2024-06-21,3926230.6159771453,2
Gaspar Adelardo Escamilla Tomé,Universitario,Corriente,Independiente,2022-07-14,14305526.26182573,3
Trini Lloret,Universitario,Ahorro,Independiente,2020-02-19,12180937.983732479,2
Carina Toledo,Universitario,Corriente,Independiente,2020-12-10,1685492.1245668535,3
Jacobo Nadal Prada,Medio,Corriente,Independiente,2023-06-20,5757952.818122794,1
Ani Mirta Vallés Barral,Medio,Vista,Independiente,2023-08-31,6960792.515380017,2
Celso Garcia-Olmedo,Universitario,Vista,Dependiente,2024-10-09,8008149.0304164635,2
Odalis Miranda Larrea,Universitario,Vista,Cesante,2024-01-08,4817431.912864321,2
Osvaldo Armengol Macias,Incompleto,Vista,Dependiente,2024-10-16,10891728.517236188,4
Mohamed de Murcia,Incompleto,Vista,Independiente,2022-05-27,6364113.89250331,4
Regina Camino Gallardo,Incompleto,Vista,Independiente,2023-07-09,3462042.561547716,1
Leonardo Ferrández Batlle,Incompleto,Corriente,Cesante,2021-11-23,8218736.389597006,4
Alejandra Blanes,Medio,Corriente,Dependiente,2021-08-31,12871.735227049097,3
Sandalio Martín Pou Tudela,Medio,Vista,Dependiente,2020-12-31,4587980.768809316,4
Eugenia Acuña Elorza,Incompleto,Vista,Cesante,2022-10-16,11546780.879909836,2
René Amigó,Universitario,Vista,Independiente,2023-12-20,5511360.561098682,4
Iván Mate Pla,Universitario,Ahorro,Dependiente,2023-02-28,4122399.55273863,4
Violeta Manuela Manso Maestre,Medio,Vista,Cesante,2020-01-05,10893113.985877473,2
Fulgencio Roque Nebot Ibañez,Universitario,Vista,Independiente,2024-03-01,13528420.770880125,1
Albina Durán Ariza,Universitario,Vista,Dependiente,2020-12-10,11492990.46402835,2
Tristán Rosell Benitez,Incompleto,Corriente,Independiente,2024-08-19,10068525.538185202,2
Etelvina Falcón Viana,Medio,Vista,Dependiente,2022-02-28,1015869.1558304206,2
Débora Ariel Cuenca Barragán,Universitario,Vista,Cesante,2020-08-09,7192534.676572011,1
Gala Lozano Salgado,Medio,Corriente,Independiente,2023-06-22,4489362.589152053,4
Ana Belén Luz Benavides,Incompleto,Ahorro,Independiente,2019-12-19,3277430.5636837003,1
Baldomero Egea Jurado,Medio,Corriente,Cesante,2024-06-04,1149085.8405319527,4
Cloe Eusebia Carpio Escudero,Incompleto,Corriente,Independiente,2024-02-12,10953791.01399008,4
Flor Neira Rodriguez,Incompleto,Corriente,Independiente,2024-10-18,8899041.842651626,1
Tere Carro Valencia,Medio,Corriente,Cesante,2022-08-09,9293797.616675263,2
Gervasio Fábregas,Medio,Vista,Dependiente,2023-02-08,8261765.99464427,1
Nadia Carro Mínguez,Medio,Vista,Independiente,2024-11-08,6029364.290017229,4
Victoria Baños,Medio,Corriente,Independiente,2024-01-22,7354607.716536618,4
Hugo Múgica Crespi,Universitario,Corriente,Independiente,2020-02-24,14784595.004114445,3
Isabela Barragán Almansa,Universitario,Corriente,Independiente,2020-12-16,2225036.4988363064,1
Clarisa María Jesús Blanca Segarra,Universitario,Vista,Dependiente,2024-03-05,7748813.761230254,3
Marcelo Arana Arenas,Incompleto,Vista,Dependiente,2020-02-25,5742092.35068271,2
Liliana Redondo Vidal,Incompleto,Vista,Dependiente,2021-10-08,14147021.587876081,4
Nilo Pazos-Moliner,Universitario,Vista,Dependiente,2021-07-28,9307675.45289321,1
Manolo Cabañas Marin,Medio,Vista,Independiente,2021-04-13,7980037.933404555,2
Tiburcio Morante Clemente,Incompleto,Vista,Dependiente,2021-01-12,20637.888236286763,1
Celso Paredes Antúnez,Medio,Ahorro,Independiente,2023-10-03,2449889.8550604293,4
Evita Uribe Mate,Incompleto,Vista,Independiente,2019-12-23,14782580.33629432,3
Faustino Blasco Sánchez,Medio,Vista,Independiente,2023-01-07,11920285.495563028,2
Adelina Diaz Taboada,Universitario,Vista,Cesante,2022-03-30,14916901.705838634,4
Godofredo Morán Hervás,Universitario,Ahorro,Dependiente,2023-12-11,4621366.581387216,1
Casemiro Botella Ortega,Medio,Ahorro,Cesante,2022-02-18,12335093.893736761,2
Wilfredo Prieto Llobet,Incompleto,Vista,Dependiente,2020-08-22,4731791.728944897,2
Roldán Izaguirre Morán,Universitario,Vista,Dependiente,2022-11-02,10338536.683955695,1
Alejandra del Dueñas,Universitario,Vista,Dependiente,2022-10-23,14181804.726351062,3
Juan Carlos Sala Coloma,Medio,Vista,Dependiente,2022-08-22,10417260.706351362,2
Isaac Muñoz Castells,Incompleto,Vista,Dependiente,2020-03-29,12930083.931581628,1
Lorenza Ballesteros Castejón,Universitario,Corriente,Cesante,2020-06-29,1975760.104653536,1
Joaquina Valderrama Acuña,Incompleto,Vista,Independiente,2022-01-04,10646283.848359386,4
Godofredo Rodriguez Lorenzo,Medio,Vista,Dependiente,2022-03-29,9030961.362509122,4
Nidia Velázquez Egea,Universitario,Ahorro,Cesante,2021-03-04,12003497.194537735,4
Andrea Dominguez,Medio,Vista,Cesante,2023-12-10,609282.8439783965,3
Galo Company Cepeda,Universitario,Corriente,Dependiente,2021-03-18,14848369.668043086,3
Ciríaco de Durán,Universitario,Vista,Independiente,2021-10-26,4148571.8045385242,1
Ariel Hernández Ayuso,Incompleto,Vista,Dependiente,2021-08-25,11286113.708326034,2
Febe Rosa Cañas,Incompleto,Corriente,Cesante,2024-07-09,3951837.2097570705,4
Roxana Cerdán Marcos,Incompleto,Corriente,Cesante,2020-10-11,10106104.82874296,3
Saturnino de Aragonés,Universitario,Ahorro,Dependiente,2023-11-21,10783145.303070433,3
Nidia Castelló Roselló,Incompleto,Corriente,Dependiente,2022-06-10,2973751.7173847784,2
Lorenza Seguí Montenegro,Medio,Ahorro,Cesante,2022-08-14,6011645.466738091,3
María Jara Pino,Incompleto,Ahorro,Dependiente,2021-05-19,12714355.90090319,1
Sosimo Gálvez Agustí,Universitario,Corriente,Independiente,2024-09-26,4984198.685075951,3
Isabela Hernando Casado,Incompleto,Ahorro,Independiente,2022-12-23,1287919.168051357,3
Jeremías Vila Trillo,Medio,Corriente,Cesante,2021-09-09,8856462.087243387,1
Jose Miguel Barroso Guerra,Incompleto,Vista,Dependiente,2020-05-15,7436741.687112166,2
Nacio Madrigal Quintana,Medio,Ahorro,Independiente,2023-02-07,13563532.320288204,2
Estela Echevarría Quevedo,Universitario,Ahorro,Independiente,2022-07-08,1611232.0264011864,3
Consuelo Pujadas Álvarez,Medio,Vista,Independiente,2020-10-02,12345361.71214576,1
Luis Miguel Puig,Medio,Corriente,Cesante,2021-07-01,3769704.7230161307,4
Cristina Jordán Escribano,Medio,Corriente,Cesante,2021-09-30,2900052.507815942,1
Dafne Vallejo Tovar,Universitario,Corriente,Independiente,2023-01-05,10081632.433453465,1
Juan Echevarría,Universitario,Corriente,Dependiente,2020-10-07,4189425.013433234,2
Feliciano Nevado Álvaro,Medio,Vista,Cesante,2024-06-30,7388319.453835342,2
Máxima Tena Guijarro,Universitario,Vista,Dependiente,2022-09-09,5868750.173520606,3
Vera Río Guillen,Universitario,Vista,Dependiente,2024-07-25,931874.0310295443,3
Eustaquio Giralt-Tello,Medio,Ahorro,Independiente,2022-09-08,8207166.256725952,2
Toni Fuentes Benavente,Incompleto,Vista,Independiente,2020-01-01,6402707.214323356,2
Albano Real Crespi,Universitario,Corriente,Dependiente,2024-04-22,13176888.591844106,2
